CHAIN,PLATFORM,BLOCK_DATE,TX_COUNT,IN_TOKEN_ADDRESS,TOKEN,PRICE,SELL_SWAP,SELL_USD,BUY_SWAP,BUY_USD,NET_SWAP,NET_USD
osmosis,osmosis-dex,2023-11-29,1,ibc/CD20AC50CE57F1CF2EA680D7D47733DA9213641D2D116C5806A880F508609A7A,"null","null",0,"null",0,"null",0,"null"
osmosis,osmosis-dex,2023-11-29,12,ibc/7ABF696369EFB3387DF22B6A24204459FE5EFD010220E8E5618DC49DB877047B,"null","null",0,"null",0,"null",0,"null"
osmosis,osmosis-dex,2023-11-29,69,ibc/0E43EDE2E2A3AFA36D0CD38BDDC0B49FECA64FA426A82E102F304E430ECF46EE,FRAX,"null",-1227.785954531,"null",125.883447218,"null",-1101.902507313,"null"
osmosis,osmosis-dex,2023-11-29,29,ibc/E7905742CE2EA4EA5D592527DC89220C59B617DE803939FE7293805A64B484D7,SOURCE,"null",-33778.233163,"null",0,"null",-33778.233163,"null"
osmosis,osmosis-dex,2023-11-29,5,ibc/B3FB7128CE957DE1ADB687A919AA0786C77C62FB1280C07CDD78AEA032D56853,"null","null",0,"null",0,"null",0,"null"
osmosis,osmosis-dex,2023-11-29,3,factory/osmo1g8qypve6l95xmhgc0fddaecerffymsl7kn9muw/sqatom,sqATOM,"null",-282.700787,"null",0,"null",-282.700787,"null"
osmosis,osmosis-dex,2023-11-29,2,ibc/239A507997222805E441956EBE8087D7E2D05D6535C6D4C75EF8DCF83B3DE1A1,"null","null",0,"null",0,"null",0,"null"
osmosis,osmosis-dex,2023-11-29,5,ibc/6928AFA9EA721938FED13B051F9DBF1272B16393D20C49EA5E4901BB76D94A90,NOIS,"null",-1570.818209,"null",0,"null",-1570.818209,"null"
osmosis,osmosis-dex,2023-11-29,4,ibc/49C2B2C444B7C5F0066657A4DBF19D676E0D185FF721CFD3E14FA253BCB9BC04,"null","null",0,"null",0,"null",0,"null"
osmosis,osmosis-dex,2023-11-29,2,ibc/B66CE615C600ED0A8B5AF425ECFE0D57BE2377587F66C45934A76886F34DC9B7,rATOM,"null",-65.546728,"null",0,"null",-65.546728,"null"
osmosis,osmosis-dex,2023-11-29,7507,ibc/4ABBEF4C8926DDDB320AE5188CFD63267ABBCEFC0583E4AE05D6E5AA2401DDAB,USDT,"null",-867991.132576,"null",520156.794462,"null",-347834.338114,"null"
osmosis,osmosis-dex,2023-11-29,1,ibc/6B99DB46AA9FF47162148C1726866919E44A6A5E0274B90912FD17E19A337695,USDC.wh,"null",-61.802268,"null",0,"null",-61.802268,"null"
osmosis,osmosis-dex,2023-11-29,3,ibc/D38BB3DD46864694F009AF01DA5A815B3A875F8CC52FF5679BFFCC35DC7451D5,CNTO,"null",-587.960541812,"null",0,"null",-587.960541812,"null"
osmosis,osmosis-dex,2023-11-29,7,ibc/2108F2D81CBE328F371AD0CEF56691B18A86E08C3651504E42487D9EE92DDE9C,USDT.wh,"null",-420.791641,"null",0,"null",-420.791641,"null"
osmosis,osmosis-dex,2023-11-29,5,ibc/051A38BBEF92B9D8293AFBE1FA293E704359E9CB28297A0FD5DBA3E9CCEE9AB1,"null","null",0,"null",0,"null",0,"null"
osmosis,osmosis-dex,2023-11-29,150,ibc/92BE0717F4678905E53F4E45B2DED18BC0CB97BF1F8B6A25AFEDF3D5A879B4D5,IST,1.000193079,-8296.460219,-8298.06208738,3424.303913,3424.965072581,-4872.156306,-4873.097014799
osmosis,osmosis-dex,2023-11-29,28,ibc/10E5E5B06D78FFBB61FD9F89209DEE5FD4446ED0550CBB8E3747DA79E10D9DC6,ARB,1.015758382,-1084.873392281,-1101.969241948,0,0,-1084.873392281,-1101.969241948
osmosis,osmosis-dex,2023-11-29,130,ibc/8E697BDABE97ACE8773C6DF7402B2D1D5104DD1EEABE12608E3469B7F64C15BA,JKL,0.1207789205,-67226.790036,-8119.579126102,46629.111791,5631.813783822,-20597.678245,-2487.765342279
osmosis,osmosis-dex,2023-11-29,1354,ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4,AKT,1.716860524,-313911.71807,-538942.636666875,155021.866984,266150.923728015,-158889.851086,-272791.712938861
osmosis,osmosis-dex,2023-11-29,67,ibc/02F196DA6FD0917DD5FEA249EE61880F4D941EE9059E7964C5C9B50AF103800F,stUMEE,0.003277695954,-332405.279417,-1089.523439272,0,0,-332405.279417,-1089.523439272
osmosis,osmosis-dex,2023-11-29,1,ibc/8A025A1E70101E39DE0C0F153E582A30806D3DA16795F6D868A3AA247D2DEDF7,SILK,1.040640008,-0.153494,-0.1597319974,0,0,-0.153494,-0.1597319974
